Label;SkillsCount;SkillsCombinationRarity;SkillsCombinationRarityPerCrewRarity;MaxRarity;VoyRank;GauntletRank;ScienceSkillCore;ScienceSkillRangeMin;ScienceSkillRangeMax;SecuritySkillCore;SecuritySkillRangeMin;SecuritySkillRangeMax;CommandSkillCore;CommandSkillRangeMin;CommandSkillRangeMax;DiplomacySkillCore;DiplomacySkillRangeMin;DiplomacySkillRangeMax;EngineeringSkillCore;EngineeringSkillRangeMin;EngineeringSkillRangeMax;MedicineSkillCore;MedicineSkillRangeMin;MedicineSkillRangeMax;B_CMD;A_CMD;B_SCI;A_SCI;B_SEC;A_SEC;V_CMD_SCI;G_CMD_SCI;V_CMD_SEC;G_CMD_SEC;V_CMD_ENG;G_CMD_ENG;V_CMD_DIP;G_CMD_DIP;V_CMD_MED;G_CMD_MED;V_SCI_SEC;G_SCI_SEC;V_SCI_ENG;G_SCI_ENG;V_SCI_DIP;G_SCI_DIP;V_SCI_MED;G_SCI_MED;V_SEC_ENG;G_SEC_ENG;V_SEC_DIP;G_SEC_DIP;V_SEC_MED;G_SEC_MED;V_ENG_DIP;V_ENG_MED;V_DIP_MED;EventsCount;IsInPortal;DaysFromDateAdded;InCollectionsCount;IsInSeries_ds9;IsInSeries_dsc;IsInSeries_ent;IsInSeries_original;IsInSeries_pic;IsInSeries_tas;IsInSeries_tng;IsInSeries_tos;IsInSeries_voy;ShipBattleAccuracyMax;ShipBattleEvasionMax;ShipBattleCritChanceMax;ShipBattleCritBonusMax;ActionBonusAmount;ActionCooldown;ActionInitialCooldown;ActionDuration;ActionLimit;ActionBonusType;ActionAbilityCondition;ActionAbilityType;ActionAbilityAmount;ActionPenaltyType;ActionPenaltyAmount;TraitsCount;Traits;TraitsHidden
10;1;0.021582734;0.011111111;3;993;997;0;0;0;0;0;0;0;0;0;451;70;198;0;0;0;0;0;0;0;0;0;0;0;0;1008;0;1009;0;1011;0;881;681;1011;0;1009;0;1004;0;854;651;1007;0;1008;0;886;713;1011;0;840;1008;794;5;True;1943;1;True;False;False;False;False;False;False;False;False;995;640;47;350;3;10;0;8;0;2;0;6;800;0;0;6;Human,Federation,Civilian,Writer,Gambler,Romantic;male,organic,ds9,jake,crew_max_rarity_3
3;1;0.035971224;0.11111111;2;1016;1009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;52;174;0;0;0;0;0;0;1019;0;1019;0;1019;0;1020;0;951;619;1018;0;1018;0;1020;0;904;420;1018;0;1020;0;934;583;1020;902;933;16;True;1943;2;False;False;False;False;False;False;True;False;False;185;155;35;0;3;10;6;10;0;2;0;0;0;0;0;6;Human,Starfleet,Federation,Doctor,Caregiver,Cyberneticist;female,organic,tng,commander,crusher,crew_max_rarity_2
1;3;0.021582734;0.011111111;3;871;804;182;76;200;308;93;193;0;0;0;0;0;0;0;0;0;510;44;132;0;0;414;406;503;491;870;637;817;639;974;0;985;0;697;674;707;270;745;406;858;647;406;259;758;536;853;695;473;310;965;553;705;12;True;1943;2;False;False;False;False;False;False;True;False;False;575;500;370;0;3;12;6;3;0;0;0;1;200;0;0;6;Human,Starfleet,Federation,Doctor,Cyberneticist,UndercoverOperative;female,organic,tng,commander,crusher,crew_max_rarity_3
9;3;0.01438849;0.01305483;4;763;719;0;0;0;437;90;201;275;38;110;0;0;0;0;0;0;736;123;300;559;568;0;0;413;427;795;806;574;478;765;743;818;811;297;209;710;591;865;0;914;0;340;274;613;529;747;684;240;110;904;296;487;12;True;1943;1;False;False;False;False;False;False;True;False;False;740;500;370;250;7;12;12;12;0;1;4;4;1000;0;0;5;Human,Starfleet,Federation,Doctor,Cyberneticist;female,organic,tng,commander,crusher,crew_max_rarity_4
6;2;0.02877698;0.01305483;4;850;913;512;50;137;0;0;0;0;0;0;0;0;0;0;0;0;799;69;244;0;0;276;313;0;0;763;770;966;0;963;0;975;0;529;499;752;753;555;496;753;751;210;222;947;0;964;0;492;489;951;333;521;26;True;1943;1;False;False;False;False;False;False;False;False;True;365;525;205;370;7;12;12;12;0;0;0;0;0;0;0;7;Hologram,Human,Federation,Starfleet,Doctor,Musician,Scoundrel;nonhuman,male,artificial_life,voy,emh,crew_max_rarity_4
5;3;0.01438849;0.04883227;5;362;306;809;106;209;0;0;0;0;0;0;393;137;435;0;0;0;1191;110;334;0;0;170;184;0;0;372;590;783;0;753;0;554;403;122;346;362;563;274;366;150;97;27;98;716;0;584;392;132;338;491;92;42;18;True;1943;1;False;False;False;False;False;False;False;False;True;1825;600;0;600;9;12;12;12;0;2;0;0;0;0;0;6;Hologram,Human,Federation,Starfleet,Musician,Doctor;nonhuman,male,artificial_life,voy,emh,crew_max_rarity_5
10;1;0.021582734;0.011111111;1;1022;1026;0;0;0;0;0;0;0;0;0;258;28;89;0;0;0;0;0;0;0;0;0;0;0;0;1023;0;1023;0;1024;0;990;836;1025;0;1022;0;1023;0;972;812;1024;0;1023;0;978;854;1024;0;970;1025;955;11;True;1943;1;False;False;False;False;False;False;False;True;False;320;495;0;0;2;12;8;10;0;2;0;0;0;1;1;5;Federation,Starfleet,Human,Musician,Communicator;female,organic,tos,lieutenant,bridge_crew,uhura,crew_max_rarity_1
10;2;0.035971224;0.037037037;4;847;553;0;0;0;0;0;0;459;128;299;592;198;429;0;0;0;0;0;0;428;380;0;0;0;0;710;432;693;489;653;363;427;95;619;355;956;0;922;0;627;243;908;0;946;0;670;330;936;0;610;904;529;11;True;1943;0;False;False;False;False;False;False;False;True;False;1165;790;75;0;8;12;12;26;1;0;0;0;0;0;0;5;Federation,Starfleet,Human,Musician,Communicator;female,organic,tos,commander,bridge_crew,uhura,crew_max_rarity_4
8;2;0.035971224;0.037037037;5;434;712;0;0;0;0;0;0;1026;84;195;1185;193;393;0;0;0;0;0;0;92;170;0;0;0;0;345;623;407;641;312;584;61;179;278;542;824;0;687;0;238;283;669;0;766;0;304;379;758;0;193;643;194;11;True;1943;1;False;False;False;True;False;False;False;False;False;465;400;60;260;8;14;10;3;0;0;1;1;300;0;0;7;Human,Federation,Starfleet,Communicator,Casual,Musician,Artist;bridge_crew,female,organic,tos,uhura,lieutenant_commander,original,crew_max_rarity_5
5;2;0.035971224;0.1;3;933;909;0;0;0;307;42;138;466;93;223;0;0;0;0;0;0;0;0;0;422;426;0;0;504;522;796;576;647;418;769;523;822;628;727;489;869;759;981;0;989;0;974;0;845;654;901;818;836;632;991;973;983;8;True;1943;1;False;False;False;False;False;False;False;False;True;665;390;133;325;3;10;6;10;0;2;4;8;20;0;0;2;Kazon,Scoundrel;nonhuman,male,organic,voy,captain,culluh,crew_max_rarity_3
6;3;0.02877698;0.05732484;2;964;959;0;0;0;331;64;148;137;19;79;0;0;0;145;16;72;0;0;0;612;613;0;0;488;498;976;840;821;607;909;703;984;852;962;735;884;709;944;572;997;0;991;0;763;518;907;791;851;598;964;930;994;7;True;1943;2;True;False;False;False;False;False;False;False;False;130;15;62;200;3;10;10;12;0;1;2;5;10000;0;0;2;Human,Klingon;male,organic,ds9,bridge_crew,alexander,nonhuman,crew_max_rarity_2
9;3;0.035971224;0.21443737;4;678;557;0;0;0;592;89;182;673;114;239;318;144;282;0;0;0;0;0;0;254;274;0;0;309;335;558;525;320;320;497;461;434;230;480;432;611;621;816;0;690;469;795;0;530;549;451;259;501;532;671;791;581;9;True;1943;1;False;False;True;False;False;False;False;False;False;390;350;288;575;8;10;6;8;3;0;0;0;0;0;0;4;Andorian,Tactician,Inspiring,ImperialGuard;nonhuman,male,organic,ent,captain,shran,crew_max_rarity_4
9;3;0.035971224;0.21443737;5;345;436;0;0;0;1076;170;348;989;83;164;424;134;288;0;0;0;0;0;0;120;195;0;0;76;98;308;671;82;227;288;633;189;311;253;583;200;313;622;0;541;475;597;0;191;285;108;113;159;254;504;569;441;10;True;1943;0;False;False;True;False;False;False;False;False;False;1440;390;483;565;9;10;6;8;3;0;0;0;0;0;0;4;Andorian,Duelist,Romantic,ImperialGuard;nonhuman,male,organic,ent,captain,shran,crew_max_rarity_5
